Date,Open,High,Low,Close ,Adj Close ,Volume
5-Feb-26,397.02,402.1,387.53,397.21,397.21,"72,231,900"
4-Feb-26,420.46,423.9,399.18,406.01,406.01,"74,606,900"
3-Feb-26,424.27,428.56,413.69,421.96,421.96,"56,886,500"
2-Feb-26,421.29,427.15,414.5,421.81,421.81,"58,739,500"
30-Jan-26,425.35,439.88,422.7,430.41,430.41,"82,626,100"
29-Jan-26,437.8,440.23,414.62,416.56,416.56,"81,686,100"
28-Jan-26,431.91,438.26,430.1,431.46,431.46,"54,857,400"
27-Jan-26,437.41,437.52,430.69,430.9,430.9,"37,733,100"
26-Jan-26,445,445.04,434.28,435.2,435.2,"49,397,400"
23-Jan-26,447.43,452.43,444.04,449.06,449.06,"56,771,400"
22-Jan-26,435.16,449.5,432.63,449.36,449.36,"71,546,700"
21-Jan-26,421.66,438.2,419.62,431.44,431.44,"68,124,000"
20-Jan-26,429.36,430.73,417.44,419.25,419.25,"63,187,300"
16-Jan-26,439.5,447.25,435.26,437.5,437.5,"60,220,600"
15-Jan-26,441.13,445.36,437.65,438.57,438.57,"49,465,800"
14-Jan-26,442.81,443.91,434.22,439.2,439.2,"57,259,500"
13-Jan-26,450.2,451.81,443.95,447.2,447.2,"53,719,200"
12-Jan-26,441.23,454.3,438,448.96,448.96,"61,649,600"
9-Jan-26,435.95,449.05,430.39,445.01,445.01,"67,331,500"
8-Jan-26,427.89,436.89,424.37,435.8,435.8,"57,041,100"
7-Jan-26,435.9,438.37,431.29,431.41,431.41,"59,828,800"
6-Jan-26,446.38,448.25,428.78,432.96,432.96,"89,093,800"
5-Jan-26,447.99,457.55,444.57,451.67,451.67,"67,940,800"
2-Jan-26,457.8,458.34,435.3,438.07,438.07,"85,535,400"
31-Dec-25,456.1,456.55,449.3,449.72,449.72,"49,078,000"
30-Dec-25,461.09,463.12,453.83,454.43,454.43,"59,238,500"
29-Dec-25,469,469.4,459,459.64,459.64,"66,263,000"
26-Dec-25,485.23,489.09,473.82,475.19,475.19,"58,780,700"
24-Dec-25,488.48,490.9,476.8,485.4,485.4,"41,285,400"
23-Dec-25,489.4,491.97,482.84,485.56,485.56,"58,223,600"
22-Dec-25,489.88,498.83,485.33,488.73,488.73,"86,916,100"
19-Dec-25,488.12,490.49,474.72,481.2,481.2,"103,305,400"
18-Dec-25,478.16,490.86,473.12,483.37,483.37,"95,168,400"
17-Dec-25,488.22,495.28,466.2,467.26,467.26,"106,490,400"
16-Dec-25,472.21,491.5,465.83,489.88,489.88,"107,608,100"
15-Dec-25,469.44,481.77,467.66,475.31,475.31,"114,542,200"
12-Dec-25,448.09,463.01,441.67,458.96,458.96,"95,656,700"
11-Dec-25,448.95,449.27,440.33,446.89,446.89,"55,979,500"
10-Dec-25,446.07,456.88,443.61,451.45,451.45,"63,257,500"
9-Dec-25,437.54,452.39,435.7,445.17,445.17,"62,367,400"
8-Dec-25,447.45,449.75,435.25,439.58,439.58,"69,165,800"
5-Dec-25,453.03,458.87,451.66,455,455,"56,427,500"
4-Dec-25,449.94,454.63,445.39,454.53,454.53,"71,906,500"
3-Dec-25,432.1,447.92,431.11,446.74,446.74,"87,483,000"
2-Dec-25,430.81,436.8,422.12,429.24,429.24,"69,336,600"
1-Dec-25,425.32,433.66,425.29,430.14,430.14,"57,463,600"
28-Nov-25,426.59,432.93,426.2,430.17,430.17,"36,252,900"
26-Nov-25,423.95,426.94,416.89,426.58,426.58,"63,463,000"
25-Nov-25,414.42,420.48,405.95,419.4,419.4,"71,915,600"
24-Nov-25,402.17,421.72,401.09,417.78,417.78,"96,806,400"
21-Nov-25,402.32,402.8,383.76,391.09,391.09,"100,460,600"
20-Nov-25,414.63,428.94,394.74,395.23,395.23,"113,548,800"
19-Nov-25,406.18,411.78,398.5,403.99,403.99,"72,047,700"
18-Nov-25,405.38,408.9,393.71,401.25,401.25,"80,688,600"
17-Nov-25,398.74,423.96,398.74,408.92,408.92,"102,214,300"
14-Nov-25,386.3,412.19,382.78,404.35,404.35,"105,506,700"
13-Nov-25,423.13,424.5,396.34,401.99,401.99,"118,948,000"
12-Nov-25,442.15,442.33,426.56,430.6,430.6,"58,513,500"
11-Nov-25,439.4,442.49,432.36,439.62,439.62,"60,533,200"
10-Nov-25,439.6,449.67,433.36,445.23,445.23,"76,515,900"
7-Nov-25,437.92,439.36,421.88,429.52,429.52,"103,471,500"
6-Nov-25,461.96,467.45,435.09,445.91,445.91,"109,622,900"
